zona_eleitoral,codigo_zona_eleitoral,estado,municipio,codigo_municipio
0158,158,BA,MACURURÉ,36994
0162,162,BA,MADRE DE DEUS,39748
0161,161,BA,MAETINGA,39756
0091,91,BA,MAIQUINIQUE,37010
0086,86,BA,MAIRI,37036
0125,125,BA,MALHADA,37052
0090,90,BA,MALHADA DE PEDRAS,37079
0022,22,BA,MANOEL VITORINO,37095
0097,97,BA,MANSIDÃO,39772
0037,37,BA,MARACÁS,37117
0118,118,BA,MARAGOGIPE,37133
0078,78,BA,MARAÚ,37150
0193,193,BA,MARCIONÍLIO SOUZA,37176
0133,133,BA,MASCOTE,37192
0185,185,BA,MATA DE SÃO JOÃO,37214
0113,113,BA,MATINA,37222
0153,153,BA,MEDEIROS NETO,37230
0103,103,BA,MIGUEL CALMON,37257
0193,193,BA,MILAGRES,37273
0167,167,BA,MIRANGABA,37290
0059,59,BA,MIRANTE,37303
0050,50,BA,MONTE SANTO,37311
0173,173,BA,MORPARÁ,37338
0055,55,BA,MORRO DO CHAPÉU,37354
0092,92,BA,MORTUGABA,37370
0119,119,BA,MUCUGÊ,37397
0035,35,BA,MUCURI,37419
0055,55,BA,MULUNGU DO MORRO,37427
0054,54,BA,MUNDO NOVO,37435
0202,202,BA,MUNIZ FERREIRA,37451
0098,98,BA,MUQUÉM DO SÃO FRANCISCO,37460
0131,131,BA,MURITIBA,37478
0109,109,BA,MUTUÍPE,37494
0030,30,BA,NAZARÉ,37516
0032,32,BA,NILO PEÇANHA,37532
0106,106,BA,NORDESTINA,39799
0146,146,BA,NOVA CANAÃ,37559
0196,196,BA,NOVA FÁTIMA,37567
0151,151,BA,NOVA IBIÁ,39969
0036,36,BA,NOVA ITARANA,37575
0119,119,BA,NOVA REDENÇÃO,37583
0079,79,BA,NOVA SOURE,37591
0035,35,BA,NOVA VIÇOSA,37613
0088,88,BA,NOVO HORIZONTE,39942
0082,82,BA,NOVO TRIUNFO,37621
0081,81,BA,OLINDINA,37630
0094,94,BA,OLIVEIRA DOS BREJINHOS,37656
0074,74,BA,OURIÇANGAS,37672
0167,167,BA,OUROLÂNDIA,37680
